order,step,item,cost,cum_chips,hr_act1,hr_act2,shove_t3
cheapest_first,61,bookshelf,22,640,935.525851174604,-31287074.667719014,0.99
cheapest_first,62,cereal_shelf,24,664,935.525851174604,-31287074.667719014,0.99
cheapest_first,63,fire_extinguisher,24,688,935.525851174604,-31287074.667719014,0.99
cheapest_first,64,blackout_curtains,24,712,935.525851174604,-31287074.667719014,0.99
cheapest_first,65,tip_jar,24,736,935.525851174604,-31287074.667719014,0.99
cheapest_first,66,cleaning_robot,24,760,935.525851174604,-31287074.667719014,0.99
cheapest_first,67,console_television,26,786,935.525851174604,-31287074.667719014,0.99
authored_pages,0,(none),0,0,6.3285975203489215,-274245587.1271916,0
authored_pages,1,wall_hanger,2,2,27.85187165162307,-273244909.7720025,0.03
authored_pages,2,mirror,3,5,97.00787165162308,-272853117.47349507,0.06
authored_pages,3,energy_drink,3,8,97.00787165162308,-272853117.47349507,0.09
authored_pages,4,corkboard,4,12,203.07994828887698,-245716658.5005336,0.12
authored_pages,5,stack_of_books,4,16,231.69660935988622,-243106464.31259152,0.15000000000000002
authored_pages,6,starter_gift_box,4,20,231.69660935988622,-243106464.31259152,0.18
authored_pages,7,lava_lamp,5,25,301.3695881243621,-237271458.0440112,0.21000000000000002
authored_pages,8,yellow_sticky_note,5,30,473.0594760083658,-227541076.5440508,0.24
authored_pages,9,throw_pillow,4,34,501.34340369410063,-217619323.66598123,0.27
authored_pages,10,comfort_bed,4,38,514.1606903560872,-197883827.82150358,0.30000000000000004
authored_pages,11,rubber_duck,5,43,514.1606903560872,-197883827.82150358,0.33
authored_pages,12,space_heater,8,51,583.0184401688736,-148544919.05754203,0.36
authored_pages,13,dish_soap,12,63,583.0184401688736,-148544919.05754203,0.39
authored_pages,14,cool_towel,16,79,583.0184401688736,-148544919.05754203,0.42000000000000004
authored_pages,15,waste_basket,18,97,583.0184401688736,-148544919.05754203,0.44999999999999996
authored_pages,16,first_aid_kit,16,113,583.0184401688736,-148544919.05754203,0.48
authored_pages,17,fight_night_poster,4,117,583.0184401688736,-148544919.05754203,0.51
authored_pages,18,dusty_console,5,122,606.5861910519905,-148422615.30985546,0.54
authored_pages,19,handheld,5,127,617.3918923774002,-138219671.96066347,0.5700000000000001
authored_pages,20,headset,6,133,639.0032950282391,-117813785.26227811,0.6000000000000001
authored_pages,21,dogs_playing_poker,6,139,639.0032950282391,-117813785.26227811,0.63
authored_pages,22,candle,7,146,639.0032950282391,-117813785.26227811,0.66
authored_pages,23,gaming_chair,10,156,639.0032950282391,-117813785.26227811,0.6900000000000001
authored_pages,24,house_cat,8,164,639.0032950282391,-117813785.26227811,0.72
authored_pages,25,desk,9,173,639.0032950282391,-117813785.26227811,0.75
authored_pages,26,ring_binder,7,180,639.0032950282391,-117813785.26227811,0.78
authored_pages,27,calculator,7,187,639.0032950282391,-75726530.60234138,0.81
authored_pages,28,pencil_holder,8,195,639.0032950282391,-75726530.60234138,0.8400000000000001
authored_pages,29,second_monitor,10,205,639.0032950282391,-92003569.21922337,0.8699999999999999
authored_pages,30,nightstand,13,218,639.0032950282391,-80284240.2505326,0.8999999999999999
authored_pages,31,bookshelf,22,240,639.0032950282391,-80284240.2505326,0.9299999999999999
authored_pages,32,laminated_blueprint,19,259,639.0032950282391,-80284240.2505326,0.96
authored_pages,33,compact_fridge,12,271,639.0032950282391,-80284240.2505326,0.99
authored_pages,34,electric_kettle,11,282,639.0032950282391,-80284240.2505326,0.99
authored_pages,35,receipt_printer,19,301,639.0032950282391,-80284240.2505326,0.99
authored_pages,36,copy_machine,19,320,639.0032950282391,-80284240.2505326,0.99
authored_pages,37,wall_clock,12,332,639.0032950282391,-80284240.2505326,0.99
authored_pages,38,framed_diploma,18,350,639.0032950282391,-80284240.2505326,0.99
authored_pages,39,chrome_toaster,14,364,827.7794483097392,-49637772.3064259,0.99
authored_pages,40,cereal_shelf,24,388,827.7794483097392,-49637772.3064259,0.99
authored_pages,41,bonsai,10,398,827.7794483097392,-49637772.3064259,0.99
authored_pages,42,desk_plant,8,406,935.525851174604,-31381549.219877895,0.99
authored_pages,43,microwave_oven,18,424,935.525851174604,-31381549.219877895,0.99
authored_pages,44,fire_extinguisher,24,448,935.525851174604,-31381549.219877895,0.99
authored_pages,45,blackout_curtains,24,472,935.525851174604,-31381549.219877895,0.99
authored_pages,46,console_television,26,498,935.525851174604,-31381549.219877895,0.99
authored_pages,47,red_rug,8,506,935.525851174604,-31381549.219877895,0.99
authored_pages,48,desk_speakers,10,516,935.525851174604,-31287074.667719014,0.99
authored_pages,49,box_of_mice,13,529,935.525851174604,-31287074.667719014,0.99
authored_pages,50,laptop_terminal,12,541,935.525851174604,-31287074.667719014,0.99
authored_pages,51,gaming_keyboard,12,553,935.525851174604,-31287074.667719014,0.99
authored_pages,52,wacom_tablet,13,566,935.525851174604,-31287074.667719014,0.99
authored_pages,53,desk_lamp,10,576,935.525851174604,-31287074.667719014,0.99
authored_pages,54,telephone,12,588,935.525851174604,-31287074.667719014,0.99
authored_pages,55,glass_partition,12,600,935.525851174604,-31287074.667719014,0.99
authored_pages,56,cleaning_robot,24,624,935.525851174604,-31287074.667719014,0.99
authored_pages,57,prize_vase,12,636,935.525851174604,-31287074.667719014,0.99
authored_pages,58,curved_monitor,13,649,935.525851174604,-31287074.667719014,0.99
authored_pages,59,tower_upgrade,14,663,935.525851174604,-31287074.667719014,0.99
authored_pages,60,shredder,18,681,935.525851174604,-31287074.667719014,0.99
authored_pages,61,whiteboard,17,698,935.525851174604,-31287074.667719014,0.99
authored_pages,62,high_roller_pass,19,717,935.525851174604,-31287074.667719014,0.99
authored_pages,63,window,20,737,935.525851174604,-31287074.667719014,0.99
authored_pages,64,tip_jar,24,761,935.525851174604,-31287074.667719014,0.99
authored_pages,65,stash_box,6,767,935.525851174604,-31287074.667719014,0.99
authored_pages,66,rolled_vouchers,9,776,935.525851174604,-31287074.667719014,0.99
authored_pages,67,rebuy_sticky_note,10,786,935.525851174604,-31287074.667719014,0.99
